BarTp,Trade,,,,
,,,,,
QQQ US Equity,,,,,
Dates,Open,Close,High,Low,Volume
#NAME?,487.7,487.77,488,487.59,293353
10/1/2024 9:31,487.809,487.66,487.9,487.5,64937
10/1/2024 9:32,487.65,486.5,487.68,486.22,168928
10/1/2024 9:33,486.5,485.882,487.04,485.86,228413
10/1/2024 9:34,485.89,485.72,486.06,485.55,174849

