Dates,Open,Close,High,Low,Volume
2024-10-01 09:31,487.809,487.66,487.9,487.5,64937
2024-10-01 09:32,487.65,486.5,487.68,486.22,168928
2024-10-01 09:33,486.5,485.882,487.04,485.86,228413
2024-10-01 09:34,485.89,485.72,486.06,485.55,174849
